chargebeam,Charge Beam,70% chance to raise the user's Sp. Atk by 1.,充电光束,攻击目标造成伤害。70%几率令使用者的特攻提升1级。,Rayo Carga,70% de aumentar un nivel el Ataque Especial al usuario.
charm,Charm,Lowers the target's Attack by 2.,撒娇,令目标的攻击降低2级。,Encanto,Baja dos niveles el Ataque al rival.
chatter,Chatter,100% chance to confuse the target.,喋喋不休,100%的几率使目标陷入混乱状态。,Cháchara,100% de confundir al rival. Sólo puede usarlo un Chatot.
chipaway,Chip Away,Ignores the target's stat stage changes.,逐步击破,攻击目标造成伤害。并无视目标能力的变化。,Guardia Baja,Ignora los modificadores de stats del Pokémon objetivo.
circlethrow,Circle Throw,Forces the target to switch to a random ally.,巴投,强制目标替换宝可梦上场。,Llave Giro,Provoca el intercambio del Pokémon objetivo por el siguiente de su equipo en orden. Termina las batallas contra Pokémon salvajes.
clamp,Clamp,Traps and damages the target for 4-5 turns.,贝壳夹击,攻击目标造成伤害。使目标陷入束缚状态。束缚状态持续4～5回合。,Tenaza,"El Pokémon rival permanece atrapado de 4 a 5 turnos, recibiendo un daño del 12.5% del PS cada turno."
clangingscales,Clanging Scales,Lowers the user's Defense by 1.,鳞片噪音,攻击目标造成伤害。令使用者的防御降低1级。,Fragor Escamas,100% de reducir un nivel la Defensa al usuario.
clangoroussoul,Clangorous Soul,User loses 33% of its max HP. +1 to all stats.,魂舞烈音爆,使用者失去最大ＨＰ的1⁄3的ＨＰ。使用者的攻击、防御、特攻、特防和速度会各上升1级。,Clangorous Soul,User loses 33% of its max HP. +1 to all stats.
clangoroussoulblaze,Clangorous Soulblaze,Raises the user's Atk/Def/SpAtk/SpDef/Spe by 1.,炽魂热舞烈音爆,攻击目标造成伤害。令使用者的攻击、防御、特攻、特防和速度提升1级。,Estruendo Implacable,"Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Kommo-o con Kommostal Z equipado. Aumenta un nivel el Ataque, la Defensa, la Velocidad, el Ataque Especial y la Defensa Especial al usuario."
clearsmog,Clear Smog,Resets all of the target's stat stages to 0.,清除之烟,将对手所有的能力变化的等级回归为0级。,Niebla Clara,Elimina todos los modificadores de stats del Pokémon objetivo.
closecombat,Close Combat,Lowers the user's Defense and Sp. Def by 1.,近身战,攻击目标造成伤害。令使用者的防御降低1级。令使用者的特防降低1级。,A Bocajarro,Baja un nivel la Defensa y la Defensa Especial al usuario.
coaching,Coaching,Raises an ally's Attack and Defense by 1.,指导,令除使用者外己方全场的攻击防御各提升1级。,Coaching,Raises an ally's Attack and Defense by 1.
coil,Coil,"Raises user's Attack, Defense, accuracy by 1.",盘蜷,令使用者的攻击、防御、命中率各提升1级。,Enrosque,"Aumenta un nivel el Ataque, la Defensa y la Precisión al usuario."
cometpunch,Comet Punch,Hits 2-5 times in one turn.,连续拳,攻击目标造成伤害，一回合内连续攻击2～5次。,Puño Cometa,Golpea de 2 a 5 veces seguidas.
confide,Confide,Lowers the target's Sp. Atk by 1.,密语,令目标的特攻降低1级。,Confidencia,"Baja un nivel el Ataque Especial al rival. Golpea aunque el rival use Protección, Detección o Barrera Espinosa ese turno, los cuales se ven anulados."
confuseray,Confuse Ray,Confuses the target.,奇异之光,使目标陷入混乱状态。,Rayo Confuso,Provoca Confusión.
confusion,Confusion,10% chance to confuse the target.,念力,攻击目标造成伤害。有10%的几率使目标陷入混乱状态。,Confusión,10% de confundir al rival.
constrict,Constrict,10% chance to lower the target's Speed by 1.,缠绕,攻击目标造成伤害。10%几率令目标的速度降低1级。,Restricción,10% de reducir un nivel la Velocidad al rival.
continentalcrush,Continental Crush,Power is equal to the base move's Z-Power.,毁天灭地巨岩坠,通过Ｚ力量召唤大大的岩山，全力撞向对手。威力会根据原来的招式而改变。,Aplastamiento Gigalítico,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
conversion,Conversion,Changes user's type to match its first move.,纹理,改变自身属性为自己学会的第一个招式的属性。,Conversión,El tipo Pokémon del usuario cambia al tipo de uno de sus movimientos al azar (Poder Oculto y Meteorobola cuentan como de tipo Normal).
conversion2,Conversion 2,Changes user's type to resist target's last move.,纹理２,自身的属性改变为上回合目标使用招式的属性对自身效果不理想或没有效果的属性。,Conversion 2,Changes user's type to resist target's last move.
copycat,Copycat,Uses the last move used in the battle.,仿效,使用场上宝可梦最后成功使用的招式。,Copión,"Usa el último movimiento usado en batalla, sea de un rival, compañero o propio (salvo a sí mismo)."
coreenforcer,Core Enforcer,Nullifies the foe(s) Ability if the foe(s) move first.,核心惩罚者,使出后能够消除已经在该回合使出招式的对手的特性。,Núcleo Castigo,"Si el Pokémon rival ya ha usado un movimiento este turno, cancela el efecto de su habilidad mientras no sea intercambiado."
corkscrewcrash,Corkscrew Crash,Power is equal to the base move's Z-Power.,超绝螺旋连击,通过Ｚ力量进行高速旋转，全力撞上对手。威力会根据原来的招式而改变。,Hélice Trepanadora,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
corrosivegas,Corrosive Gas,Removes adjacent Pokemon's held items.,腐蚀气体,如果目标持有可被拍落的携带物品，则目标在战斗结束前失去其携带物品。,Corrosive Gas,Removes adjacent Pokemon's held items.
cosmicpower,Cosmic Power,Raises the user's Defense and Sp. Def by 1.,宇宙力量,令使用者的防御、特防各提升1级。,Masa Cósmica,Aumenta un nivel la Defensa y la Defensa Especial al usuario.
cottonguard,Cotton Guard,Raises the user's Defense by 3.,棉花防守,令使用者的防御提升3级。,Rizo Algodón,Aumenta tres niveles la Defensa del usuario.
cottonspore,Cotton Spore,Lowers the target's Speed by 2.,棉孢子,令目标的速度降低2级。,Esporagodón,Baja dos niveles la Velocidad al rival.
counter,Counter,"If hit by physical attack, returns double damage.",双倍奉还,造成使用者上一次受到的物理伤害×2的固定伤害。,Contraataque,"Si el usuario es golpeado por un ataque físico el mismo turno en que usa este movimiento, le devolverá al atacante el doble del daño recibido."
courtchange,Court Change,Swaps user's field effects with the opposing side.,换场,可交换招式使用方和对方的部分场地状态。,Court Change,Swaps user's field effects with the opposing side.
covet,Covet,"If the user has no item, it steals the target's.",渴望,如果攻击方没有或失去携带物品，则会在本次战斗中获得目标的携带物品。,Antojo,"Toma el objeto del rival si no tiene nada equipado, incluso aunque el rival caiga debilitado a consecuencia del ataque."
crabhammer,Crabhammer,High critical hit ratio.,蟹钳锤,攻击目标造成伤害。击中要害率比普通招式高1级。,Martillazo,Alta probabilidad de Golpe Crítico.
craftyshield,Crafty Shield,Protects allies from Status moves this turn.,戏法防守,使己方场地进入戏法防守状态，直到这回合结束之前，保护我方全场宝可梦不受到变化招式影响。,Truco Defensa,Evita todo efecto de movimientos del rival para él y sus aliados. Su precisión se reduce con cada uso consecutivo. No evita movimientos de daño directo.
crosschop,Cross Chop,High critical hit ratio.,十字劈,攻击目标造成伤害。击中要害率比普通招式高1级。,Tajo Cruzado,Alta probabilidad de Golpe Crítico.
crosspoison,Cross Poison,High critical hit ratio. 10% chance to poison.,十字毒刃,攻击目标造成伤害。击中要害率比正常高出1级，并10%的几率使目标陷入中毒状态。,Veneno X,10% de envenenar al rival. Alta probabilidad de Golpe Crítico.
crunch,Crunch,20% chance to lower the target's Defense by 1.,咬碎,攻击目标造成伤害。20%几率令目标的防御降低1级。,Triturar,20% de reducir un nivel la Defensa al rival.
crushclaw,Crush Claw,50% chance to lower the target's Defense by 1.,撕裂爪,攻击目标造成伤害。50%几率令目标的防御降低1级。,Garra Brutal,50% de reducir un nivel la Defensa al rival.
crushgrip,Crush Grip,More power the more HP the target has left.,捏碎,对手的ＨＰ越多，威力越大。,Agarrón,El poder del movimiento es mayor cuanto más PS le quede al rival. El poder base será: 1 + (PS Actual Rival / PS Máximo Rival) x 120 (máx. 121).
curse,Curse,"Curses if Ghost, else -1 Spe, +1 Atk, +1 Def.",诅咒,自身带有幽灵属性时，使用者减少最大ＨＰ的1⁄2，使目标进入诅咒状态。自身ＨＰ不满最大ＨＰ的1⁄2时仍可使用，使用后自身陷入濒死状态。处于该状态的宝可梦每回合结束时损失最大ＨＰ的1⁄4，离场后状态消失。自身不带有幽灵属性时，令使用者的速度降低1级，攻击、防御提升1级。,Maldición,"Aumenta un nivel el Ataque y la Defensa y reduce un nivel la Velocidad al usuario. Usado por un Fantasma, pierde 50% de PS máx. y el rival pierde un 25% de PS cada turno."
cut,Cut,No additional effect.,居合斩,攻击目标造成伤害。,Corte,Ninguno.
darkestlariat,Darkest Lariat,Ignores the target's stat stage changes.,ＤＤ金勾臂,攻击目标造成伤害。并无视目标能力的变化。,Lariat Oscuro,Ignora los modificadores de stats del Pokémon objetivo.
darkpulse,Dark Pulse,20% chance to flinch the target.,恶之波动,攻击目标造成伤害。有20%的几率使目标陷入畏缩状态。,Pulso Umbrío,20% de hacer retroceder al rival.
darkvoid,Dark Void,Darkrai: Causes the foe(s) to fall asleep.,暗黑洞,使目标陷入睡眠状态。,Brecha Negra,Provoca Sueño.
dazzlinggleam,Dazzling Gleam,No additional effect. Hits adjacent foes.,魔法闪耀,攻击目标造成伤害。,Brillo Mágico,Ninguno.
decorate,Decorate,Raises the target's Attack and Sp. Atk by 2.,装饰,令目标的攻击、特攻各提升2级。,Decorate,Raises the target's Attack and Sp. Atk by 2.
defendorder,Defend Order,Raises the user's Defense and Sp. Def by 1.,防御指令,令使用者的防御、特防各提升1级。,A Defender,Aumenta un nivel la Defensa y la Defensa Especial al usuario.
defensecurl,Defense Curl,Raises the user's Defense by 1.,变圆,令使用者的防御提升1级。,Rizo Defensa,Aumenta un nivel la Defensa al usuario. Duplica el poder base de Desenrollar y Bola Hielo.
defog,Defog,-1 evasion; clears terrain and hazards on both sides.,清除浓雾,令目标的闪避率降低1级。清除场上的的反射壁或光墙等。,Despejar,"Reduce un nivel la Evasión al rival. Elimina Reflejo, Pantalla de Luz, Velo Sagrado, Neblina, Púas, Púas Tóxicas y Trampa Rocas en el campo del Pokémon objetivo (compañero o rival)."
destinybond,Destiny Bond,"If an opponent knocks out the user, it also faints.",同命,使出招式后，当受到对手攻击陷入濒死时，对手也会一同濒死。连续使出则会失败。,Mismo Destino,"Si el usuario cae debilitado por un ataque del rival antes de usar otro ataque, el Pokémon rival cae también debilitado."
detect,Detect,Prevents moves from affecting the user this turn.,看穿,完全抵挡对手的攻击。连续使出则容易失败。,Detección,Evita todo daño directo y efectos de movimientos del rival. Su precisión se reduce con cada uso consecutivo.
devastatingdrake,Devastating Drake,Power is equal to the base move's Z-Power.,究极巨龙震天地,通过Ｚ力量将气场实体化，向对手全力发动袭击。威力会根据原来的招式而改变。,Dracoaliento Devastador,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
diamondstorm,Diamond Storm,50% chance to raise user's Def by 2 for each hit.,钻石风暴,攻击目标造成伤害。50%几率令使用者的防御提升2级。,Torm. Diamantes,50% de aumentar dos niveles la Defensa al usuario.
dig,Dig,"Digs underground turn 1, strikes turn 2.",挖洞,第１回合钻入地底，第２回合攻击对手。,Excavar,"Precisa un turno de preparación bajo tierra, en que sólo puede ser golpeado por Terremoto y Magnitud, con el doble de poder base."
disable,Disable,"For 4 turns, disables the target's last move used.",定身法,阻碍对手行动，之前使出的招式将在４回合内无法使用。,Anulación,El Pokémon rival no puede usar el último movimiento que ha usado de 4 a 7 turnos.
disarmingvoice,Disarming Voice,This move does not check accuracy. Hits foes.,魅惑之声,攻击目标造成伤害。魅惑之声一定会命中，除非目标正在使用蓄力的招式并不在场地上。,Voz Cautivadora,Siempre golpea.
discharge,Discharge,30% chance to paralyze adjacent Pokemon.,放电,攻击目标造成伤害。放电有30%的几率使目标陷入麻痹状态。,Chispazo,30% de paralizar al rival.
dive,Dive,"Dives underwater turn 1, strikes turn 2.",潜水,第１回合潜入，第２回合浮上来进行攻击。,Buceo,"Precisa un turno de preparación bajo el agua, en que sólo puede ser golpeado por Surf y Torbellino, con el doble de poder base."
dizzypunch,Dizzy Punch,20% chance to confuse the target.,迷昏拳,攻击目标造成伤害。迷昏拳有20%的几率使目标陷入混乱状态。,Puño Mareo,20% de confundir al rival.
